Gender,Age,Height,Weight,Duration,Heart_Rate,Calories,suitable
0,34,163,61,13,96,67,0
0,78,153,54,13,84,62,1
1,41,178,76,28,104,172,1
1,41,172,71,7,87,24,1
1,24,178,77,19,98,84,1
0,67,173,69,20,105,132,1
0,47,179,75,25,110,167,0
0,42,154,52,17,101,101,1
0,25,180,75,23,97,113,1
1,25,179,78,17,101,84,1
0,58,165,68,6,88,28,1
1,68,191,98,22,99,157,1
1,24,181,91,14,97,64,1
1,38,192,92,21,104,133,1
0,26,164,59,23,108,145,1
1,64,178,83,24,103,174,1
0,49,174,75,7,93,34,1
0,73,158,57,29,103,193,0
1,27,180,86,24,107,147,1
1,66,171,72,18,105,133,1
1,39,199,104,26,101,161,1
0,30,168,62,6,76,18,1
1,76,187,96,12,96,85,0
1,60,193,90,15,95,90,1
1,54,188,90,23,108,176,1
0,49,166,66,11,89,51,1
0,24,173,66,7,82,24,0
0,28,161,57,6,83,22,1
1,72,197,102,25,106,212,0
1,32,171,78,29,112,201,0
0,36,159,59,17,93,83,1
1,65,204,103,14,93,87,1
0,36,163,67,27,97,141,1
0,32,159,63,23,103,134,1
1,42,180,84,2,80,5,0
1,34,191,94,29,109,201,0
1,34,181,78,3,86,9,0
1,26,191,86,8,83,20,1
1,31,203,105,29,113,221,1
0,64,157,63,17,105,112,0
1,34,185,93,20,99,108,0
1,63,204,112,29,110,257,1
1,44,194,87,27,108,192,1
1,36,190,96,17,90,72,1
1,41,173,71,28,104,169,1
1,73,168,77,18,97,120,1
1,31,186,85,28,106,172,1
1,22,179,73,10,84,21,1
0,34,161,56,18,102,105,1
0,21,168,65,25,109,156,0
0,22,145,50,3,89,13,1
1,33,190,97,24,100,134,1
0,51,157,60,21,103,130,1
1,45,195,99,2,83,7,0
0,33,175,67,25,101,140,1
1,47,198,97,7,91,34,1
0,70,175,74,9,79,34,1
0,77,160,63,8,92,44,1
0,35,172,71,11,85,42,1
0,44,161,60,2,89,9,1
0,71,164,60,18,97,107,1
0,54,174,75,9,87,39,1
0,63,166,68,26,108,178,0
0,50,149,55,13,101,79,1
1,63,200,105,15,102,113,1
0,30,163,58,22,109,143,1
0,33,163,57,4,84,16,1
1,38,189,91,24,100,137,1
1,20,183,81,17,97,71,1
0,67,159,62,13,94,72,1
1,24,188,90,14,103,76,1
1,30,197,103,27,109,187,0
0,35,145,49,18,103,109,1
0,63,176,79,29,111,204,0
0,50,157,60,6,91,29,0
1,33,200,101,17,98,91,0
0,36,163,58,4,84,16,1
1,75,187,97,7,84,36,0
1,56,184,93,13,97,80,0
0,50,182,75,22,111,151,1
1,24,183,80,27,116,195,0
0,32,172,72,8,80,26,1
1,49,193,100,22,99,138,1
0,77,170,65,3,89,15,1
1,67,171,75,19,97,120,1
1,23,182,81,30,112,197,1
1,37,192,95,21,98,114,1
0,35,163,59,20,107,127,0
1,34,185,83,23,97,112,1
0,49,168,67,21,98,116,1
0,69,156,61,8,83,35,1
1,49,194,101,16,103,110,1
0,41,150,51,22,95,117,1
1,42,195,95,17,105,115,0
1,52,188,93,21,107,157,0
0,26,158,60,12,91,54,1
0,79,178,80,25,104,163,1
1,72,172,82,19,107,156,1
1,34,195,92,10,91,42,1
0,60,152,50,7,89,35,0
0,45,158,57,7,91,34,1
1,33,188,92,19,98,99,1
1,56,192,97,20,109,161,1
0,21,153,54,8,94,38,0
0,50,161,61,18,99,104,1
1,60,184,86,27,105,200,1
1,39,162,72,28,108,183,1
1,48,175,75,19,110,140,1
0,38,163,65,19,97,100,1
1,54,190,95,22,110,178,1
1,23,195,89,27,104,150,1
0,72,164,68,15,94,83,1
1,47,179,79,6,74,12,0
0,58,170,72,8,103,49,1
1,41,179,85,25,101,147,1
1,62,193,100,8,90,44,1
0,30,168,67,29,107,179,0
0,32,156,56,23,113,161,1
1,20,178,80,9,84,20,1
0,53,168,65,21,102,127,1
1,51,189,95,30,112,247,1
1,78,177,86,23,100,173,0
0,31,169,69,1,74,3,1
1,74,205,112,6,83,32,1
0,50,177,70,22,106,140,1
0,40,160,70,8,88,34,1
1,41,172,75,8,88,30,1
0,26,161,54,13,94,64,0
1,25,185,89,27,104,152,1
1,31,184,89,15,105,91,0
1,20,186,90,4,83,9,1
0,55,176,72,5,84,20,1
0,52,160,59,25,103,156,1
1,60,208,105,26,110,223,1
1,36,191,93,16,97,83,1
0,53,168,69,11,89,51,1
1,36,193,95,10,97,52,0
0,23,169,68,25,114,170,1
0,36,164,57,2,79,7,1
0,37,166,61,25,103,149,1
1,48,181,80,27,105,181,0
0,39,167,71,27,118,201,1
1,21,205,103,7,88,23,1
1,20,187,86,23,100,109,0
1,57,169,72,8,84,30,0
0,77,160,66,15,94,84,1
1,34,184,85,19,109,128,1
1,52,189,92,23,97,137,1
1,70,194,91,28,103,216,1
0,64,157,54,12,95,68,1
1,73,198,101,18,97,129,1
1,47,195,99,11,88,50,1
0,39,164,65,5,84,19,1
0,25,163,60,7,89,30,1
1,22,165,67,27,119,197,1
1,67,173,78,4,95,24,1
0,64,164,67,13,94,70,1
1,37,200,100,12,91,54,1
1,21,184,78,19,100,88,1
1,40,190,97,7,83,24,1
0,36,174,68,19,108,121,1
0,53,178,77,11,95,57,1
1,41,192,99,22,98,126,0
1,56,184,88,5,89,24,1
0,29,166,65,11,84,41,1
1,28,192,92,7,92,28,1
1,22,191,88,10,90,34,1
1,76,195,93,23,96,161,1
1,73,175,76,4,86,20,1
1,39,191,86,23,97,119,1
0,69,162,59,11,95,63,0
0,46,180,75,12,93,58,1
0,30,163,58,30,115,215,1
0,35,168,67,17,101,96,1
0,60,176,71,24,107,160,1
0,35,150,50,25,104,154,0
1,26,182,84,5,81,11,0
1,21,183,83,23,104,122,1
0,27,158,57,22,101,124,1
0,47,172,69,21,97,113,1
0,27,183,79,3,80,9,1
1,49,181,79,29,108,208,1
1,27,178,83,19,102,101,1
1,46,194,91,14,91,66,0
1,58,197,98,14,102,100,1
1,27,172,77,13,101,65,1
1,29,176,76,13,91,47,1
1,39,197,96,3,78,8,0
0,56,160,63,4,84,17,1
1,32,183,83,21,97,101,0
0,43,169,67,5,80,18,1
1,21,202,98,21,108,131,1
0,76,175,72,10,97,58,1
0,22,162,59,15,104,87,1
1,35,200,99,24,104,152,1
1,45,191,95,28,105,193,1
1,32,176,83,10,99,51,1
1,39,178,80,25,105,157,1
0,44,174,75,27,105,165,1
0,26,174,67,6,84,22,0
0,42,179,72,17,98,91,1
0,24,178,78,2,93,9,1
1,56,186,93,14,91,74,1
1,71,185,96,5,85,26,1
0,37,187,84,11,99,57,1
0,47,162,63,10,81,37,1
1,48,167,67,29,112,217,1
1,52,183,86,11,87,47,1
1,40,192,98,24,99,139,1
0,66,180,75,4,88,19,1
0,37,157,59,16,94,80,1
1,28,193,93,17,94,74,0
0,59,148,51,10,93,54,1
1,24,182,78,28,105,154,1
0,67,162,62,26,93,140,1
1,33,192,98,10,97,52,1
1,34,192,99,15,97,79,1
1,40,181,84,17,99,94,1
1,22,193,85,28,116,202,0
1,66,164,75,27,114,238,1
1,42,182,82,19,103,117,1
1,42,209,111,7,83,26,1
1,64,203,97,23,106,184,1
0,32,162,64,28,105,169,1
1,24,189,91,1,78,2,1
1,26,182,83,27,107,162,1
0,32,159,55,13,92,62,1
1,51,190,94,21,105,150,1
0,40,165,59,27,110,183,1
0,34,179,74,25,101,138,1
1,48,185,88,15,103,99,0
0,21,147,45,23,100,128,1
0,31,175,68,12,91,54,0
1,76,193,103,18,95,127,1
1,20,177,79,5,84,11,1
1,22,167,73,18,94,66,1
1,44,180,84,11,91,49,1
0,49,173,67,10,85,42,1
1,49,179,79,7,95,37,0
0,46,154,55,3,84,12,1
1,75,186,84,29,107,243,0
0,20,167,58,5,76,14,1
0,33,154,59,28,105,171,1
1,68,166,75,28,112,241,0
0,58,173,73,20,104,125,1
1,23,179,81,26,112,171,1
1,79,198,96,9,87,52,1
1,43,201,104,28,103,187,0
0,37,178,74,24,104,141,1
1,75,199,103,28,123,314,1
0,61,173,73,26,102,159,1
0,26,169,62,9,80,30,0
0,23,173,72,28,110,176,0
1,64,178,82,25,111,211,1
0,20,170,68,8,85,29,1
0,22,171,69,21,95,99,1
0,27,169,69,27,116,190,1
1,36,190,95,7,83,22,1
1,59,191,92,30,110,247,1
1,36,206,103,5,84,17,1
0,71,160,65,8,86,37,1
0,21,167,67,21,103,117,1
1,56,188,90,10,91,52,0
0,68,166,64,2,75,7,1
1,75,172,74,10,98,68,1
1,48,176,84,17,89,74,1
1,62,185,91,24,97,154,1
0,53,156,60,26,104,165,1
1,47,187,89,17,97,96,1
1,39,188,91,13,101,77,1
0,54,168,63,17,92,86,0
1,38,201,104,21,101,129,0
0,39,149,51,26,100,151,1
1,51,182,81,28,106,197,0
1,30,193,92,13,104,77,1
0,33,156,61,5,90,22,0
1,47,182,82,27,100,161,1
0,64,155,55,25,114,192,0
0,37,159,58,8,90,37,1
1,41,188,91,20,106,135,0
1,61,179,77,11,90,55,0
1,38,169,71,10,84,29,1
1,21,185,88,12,97,52,1
0,26,173,73,1,69,2,1
1,48,183,81,21,94,106,1
1,71,183,80,6,84,28,1
1,73,199,97,22,107,189,1
0,65,158,61,26,111,190,0
0,57,149,56,13,91,66,0
1,49,185,93,22,99,135,1
1,55,178,79,4,97,23,0
1,20,182,74,12,80,17,0
0,45,163,58,5,84,21,1
0,53,175,75,13,90,60,1
0,46,166,58,10,93,51,1
1,25,198,96,5,85,15,1
1,22,163,65,9,92,29,1
0,60,164,66,27,110,190,0
0,50,168,62,11,89,51,0
0,61,157,56,17,95,95,1
0,69,165,62,29,112,216,1
1,30,195,92,30,101,165,1
0,33,164,61,20,105,122,1
1,21,206,105,15,96,69,1
0,39,152,53,20,99,113,0
1,26,180,81,7,92,26,0
1,44,175,80,5,91,22,1
0,58,144,42,12,96,70,1
1,24,177,83,4,83,9,1
1,35,187,91,15,95,72,1
1,21,189,94,25,111,165,1
1,26,181,82,29,105,165,0
0,30,162,57,15,88,64,1
1,27,182,81,18,105,103,1
0,32,147,51,4,83,15,1
0,30,185,84,9,85,32,0
0,79,160,57,14,85,68,1
0,39,164,58,25,106,159,1
1,25,188,89,6,92,23,0
0,23,169,70,13,90,54,1
0,47,172,70,2,89,9,1
1,34,182,80,29,120,240,1
0,36,152,54,10,86,42,0
1,63,203,115,14,106,117,1
0,37,164,59,26,106,164,1
0,50,156,55,23,98,132,0
1,62,191,96,2,85,9,1
0,37,173,67,15,94,74,0
0,35,169,69,23,96,116,1
1,27,174,79,8,102,42,0
1,55,179,79,24,110,187,1
1,36,173,75,16,94,70,0
0,22,140,45,7,86,29,0
1,20,170,71,9,83,17,1
1,43,185,83,28,108,195,1
0,73,181,76,19,106,127,1
1,22,184,82,14,87,39,1
1,67,155,64,6,88,28,1
1,25,195,100,16,93,68,1
0,41,165,63,17,97,91,1
1,49,181,81,16,97,89,1
0,58,148,53,2,89,10,1
1,27,180,80,28,111,185,1
0,33,172,76,5,79,16,1
0,59,156,58,19,91,97,1
1,21,183,77,13,92,44,1
0,65,155,59,10,95,56,1
1,22,191,88,21,103,112,0
1,55,192,91,10,81,37,0
1,22,182,82,9,86,24,0
0,35,132,38,30,112,216,1
1,58,203,101,15,101,106,1
1,45,194,103,14,85,57,1
1,62,195,99,18,97,119,1
0,74,162,60,16,97,96,1
0,48,146,46,7,88,33,1
1,23,173,73,23,100,106,1
1,31,184,90,25,106,156,0
1,53,199,98,14,92,75,1
1,73,189,89,18,99,130,0
0,27,170,66,21,113,142,1
1,40,177,83,22,99,121,1
0,66,162,66,24,99,143,1
0,46,170,73,20,105,123,1
0,75,165,62,26,108,186,1
1,33,162,67,13,94,53,1
0,49,164,59,27,104,170,1
0,37,166,67,15,97,78,1
0,43,167,70,26,113,182,1
0,66,187,82,11,92,55,1
0,51,161,59,25,101,150,1
0,33,162,56,6,80,21,1
1,48,170,72,6,90,26,1
1,43,192,95,18,93,90,1
1,48,174,75,16,99,91,1
1,34,186,87,17,95,79,1
0,61,168,66,29,107,195,1
0,48,177,75,10,101,57,0
0,30,162,57,18,98,96,0
0,79,163,61,7,93,39,1
0,67,172,73,4,85,18,1
1,60,184,84,4,85,17,1
0,57,171,76,15,97,82,1
1,34,194,96,19,101,110,1
0,42,157,56,25,106,161,1
1,38,181,82,25,107,164,1
1,43,179,83,5,81,15,1
1,76,189,99,12,96,85,1
1,37,179,79,23,101,128,0
1,23,195,98,14,94,59,1
1,21,205,108,2,84,6,1
0,20,151,54,18,92,82,0
0,23,168,62,25,105,148,0
0,20,170,65,3,76,8,1
0,25,173,71,14,86,53,1
0,24,155,50,16,98,85,1
0,29,157,57,22,99,120,0
1,43,199,106,28,107,205,1
0,26,175,66,4,80,13,0
0,76,176,77,28,107,192,0
1,43,184,89,4,91,18,1
1,73,190,94,7,92,44,1
1,42,198,104,26,103,172,1
0,23,171,65,27,105,158,1
1,22,186,76,6,82,11,1
1,28,176,77,25,96,108,1
0,20,170,64,23,96,112,1
0,36,169,65,14,92,66,1
1,26,201,104,10,88,36,1
1,59,167,72,4,89,19,1
0,22,152,50,10,94,49,1
0,50,170,70,26,100,149,1
1,22,171,77,2,81,4,1
0,52,171,70,28,115,206,1
0,31,169,66,23,94,111,1
1,68,186,98,28,105,226,1
0,48,169,65,11,94,56,1
1,31,186,94,7,92,30,1
0,23,159,60,15,91,67,1
1,24,178,78,22,102,111,1
1,58,172,75,27,107,199,0
0,32,176,69,15,102,85,1
0,21,144,47,2,77,6,1
1,63,200,98,28,105,219,1
1,77,176,82,21,102,162,1
1,49,188,85,25,110,190,0
1,26,189,91,30,108,190,1
0,53,166,64,9,87,40,0
0,31,179,77,9,92,40,1
0,32,165,66,3,75,8,0
0,35,178,71,8,85,31,0
0,66,151,57,21,100,130,1
0,40,157,60,7,89,32,1
1,62,181,87,22,97,139,0
0,24,159,58,3,88,12,1
1,37,185,87,11,96,55,1
1,49,186,86,9,95,48,1
1,32,198,99,24,107,160,1
0,46,164,62,13,94,67,1
1,59,178,75,25,105,178,1
0,42,168,68,17,91,79,1
1,44,184,85,9,85,32,1
0,74,175,77,22,103,140,0
1,68,190,99,14,92,86,1
1,58,184,84,16,97,97,1
1,32,184,80,28,117,217,1
1,34,192,93,21,91,88,1
0,23,160,58,21,106,127,1
0,52,174,69,7,88,32,1
0,28,160,63,5,85,19,1
0,47,172,66,20,103,121,1
1,24,168,68,12,92,40,1
0,73,162,60,9,91,48,1
1,76,192,103,25,100,195,1
1,65,163,69,10,91,52,1
1,29,173,71,4,81,8,1
1,20,178,81,26,104,136,1
1,33,187,90,6,86,20,0
0,33,170,61,3,83,11,1
1,34,174,72,26,103,144,1
0,43,160,60,13,89,59,1
0,47,173,74,10,97,53,1
0,65,187,82,8,90,38,0
0,22,161,62,29,99,152,1
1,28,184,85,8,94,34,0
0,30,157,60,3,87,12,1
1,20,184,84,1,76,1,0
1,32,196,96,28,110,197,0
0,56,171,66,20,103,124,0
1,67,188,90,15,106,120,0
1,62,207,105,9,88,48,1
0,33,182,73,17,97,86,1
1,46,201,96,25,108,185,1
1,79,191,91,8,90,49,0
0,57,152,57,11,85,49,1
0,49,167,66,11,87,48,1
1,41,186,87,14,100,81,1
1,38,170,77,19,112,137,1
1,28,189,84,24,98,115,1
1,31,189,84,19,98,93,1
1,48,193,93,8,87,34,1
1,41,179,80,26,106,170,0
1,71,201,103,6,92,38,1
0,30,161,64,26,99,139,0
0,30,167,67,18,94,86,0
0,29,163,59,26,111,174,0
1,34,184,88,5,82,14,0
1,42,167,76,29,108,197,1
0,51,169,68,17,105,107,1
1,35,187,92,19,100,106,1
0,28,172,68,3,85,11,0
0,33,187,80,6,90,25,0
0,22,160,56,23,98,120,1
1,64,172,73,22,102,151,1
0,57,157,57,18,91,91,1
0,42,157,56,18,95,95,0
1,24,188,91,23,101,119,0
1,49,169,80,3,82,10,1
1,32,184,81,19,99,96,1
1,78,176,80,13,98,92,1
0,53,166,63,24,107,159,1
1,68,195,98,21,105,169,0
1,47,200,108,15,98,93,1
0,51,154,56,15,96,83,1
0,64,158,59,22,92,116,0
1,51,198,94,17,87,75,0
0,23,153,55,26,98,137,1
0,42,148,48,15,94,79,1
1,23,180,75,8,88,23,1
1,70,191,98,4,83,19,0
1,53,189,94,11,88,52,1
1,28,184,84,16,98,76,1
0,48,182,80,10,92,47,1
0,43,158,61,22,99,124,1
0,21,178,71,7,89,28,1
1,26,194,92,22,104,127,0
0,53,170,67,19,95,101,1
0,32,171,68,26,103,150,1
1,24,212,105,9,90,34,1
1,30,194,94,13,93,56,1
0,31,174,69,27,104,158,1
1,21,182,87,22,107,129,1
1,35,186,86,10,93,44,1
1,56,201,105,11,94,66,1
0,34,153,51,28,107,181,1
0,29,153,58,14,101,79,1
0,23,147,51,21,113,145,1
0,22,158,62,28,110,180,1
1,42,183,82,15,98,81,1
0,40,178,73,15,95,75,0
1,28,179,83,2,79,4,1
1,49,198,102,17,100,110,1
1,28,180,79,9,93,35,1
1,56,196,94,5,86,23,0
0,41,167,61,29,103,175,0
1,38,198,96,27,95,137,1
0,21,140,48,27,106,166,1
1,73,183,90,21,94,136,1
1,48,183,91,24,102,156,1
0,53,172,71,8,89,37,1
1,43,178,82,16,102,97,1
1,20,172,71,18,99,77,1
1,22,184,85,28,105,156,1
1,50,191,95,11,93,58,1
1,46,184,89,10,95,53,0
0,40,165,62,19,100,108,1
0,71,163,65,11,90,56,1
1,20,172,76,19,106,103,0
1,68,196,98,22,101,164,1
1,50,172,73,13,98,73,1
1,24,166,71,2,78,3,1
0,25,159,57,15,99,80,0
1,34,196,103,17,96,88,0
0,42,170,75,14,98,74,0
0,29,140,40,16,101,94,1
1,40,167,66,6,87,20,0
0,77,176,76,9,85,41,1
1,46,177,83,20,98,112,1
0,78,168,71,12,96,69,1
1,35,186,92,24,99,130,1
1,21,199,100,21,98,100,1
0,45,156,57,27,104,169,1
0,56,172,65,27,108,183,1
0,74,160,66,29,110,211,0
1,46,180,83,6,86,23,1
1,21,196,92,14,95,58,1
1,26,180,75,4,77,5,1
1,63,176,79,12,90,62,1
0,34,156,51,3,90,14,1
1,68,205,106,23,107,196,1
1,56,182,87,16,91,82,0
1,21,173,78,28,108,163,1
1,20,173,73,25,99,108,1
0,35,161,62,15,102,87,1
1,25,194,97,18,99,91,1
0,62,148,44,26,108,186,1
0,63,173,66,8,83,34,1
0,46,154,57,11,97,61,1
1,46,175,80,21,97,113,1
1,24,187,87,5,82,11,1
1,43,178,83,13,83,42,1
0,27,157,59,2,81,7,1
1,65,172,80,14,96,86,1
0,63,150,50,7,88,35,1
1,59,199,104,20,102,146,1
0,34,151,51,7,97,38,1
0,57,172,70,28,105,179,1
1,28,192,94,10,85,30,1
1,31,202,98,14,97,71,0
0,30,166,66,16,87,65,1
1,38,176,77,2,80,5,1
0,54,169,71,29,107,190,0
1,54,195,100,9,82,36,1
1,31,193,97,15,92,64,1
1,73,167,69,29,109,240,1
0,75,156,57,27,114,212,1
1,39,164,73,22,97,108,0
1,26,193,87,5,87,15,1
0,28,157,59,23,111,153,1
1,58,191,91,10,91,53,1
1,79,202,108,18,99,142,1
0,26,167,58,15,95,74,1
0,53,159,57,23,105,150,1
0,33,159,53,17,94,85,1
1,60,181,92,3,88,15,1
1,53,182,81,5,84,19,1
1,26,185,85,3,86,9,1
1,23,179,83,3,91,10,1
0,31,170,64,2,77,6,1
1,20,175,78,24,107,135,1
1,32,168,73,30,111,201,0
1,61,197,104,28,108,232,0
1,27,187,92,13,92,52,1
0,42,182,84,6,86,23,1
0,22,158,56,18,97,92,1
0,71,165,67,19,91,99,1
0,28,168,62,10,87,41,1
1,38,177,77,26,113,192,1
0,43,173,69,2,79,7,1
1,21,187,84,27,97,116,1
1,38,182,77,21,102,120,1
1,46,180,83,2,90,9,1
1,49,193,97,3,84,12,0
1,33,181,82,4,89,14,0
0,61,171,66,8,85,35,0
1,35,191,90,24,108,162,0
1,32,202,99,27,115,212,1
0,38,156,56,20,94,101,0
1,58,190,87,23,98,145,1
0,46,168,64,2,85,8,1
0,25,171,70,11,92,49,1
0,23,158,54,9,92,42,1
0,24,167,68,18,93,82,1
0,38,170,65,3,85,12,0
0,29,147,48,17,98,93,1
0,79,163,63,8,86,39,1
0,37,171,66,25,106,155,0
0,22,156,58,16,102,90,1
1,20,182,82,20,92,69,1
0,57,167,68,18,114,133,1
1,58,198,96,12,92,67,0
0,32,144,49,5,90,23,1
0,32,174,69,2,77,6,1
0,42,157,55,27,113,194,1
0,50,151,51,2,79,8,1
0,44,172,75,12,93,58,0
1,27,174,75,21,106,120,1
0,38,178,70,13,89,57,0
0,23,173,68,18,97,89,0
0,31,156,58,16,101,91,1
0,52,148,55,22,105,143,1
1,46,181,82,24,104,156,1
0,56,160,60,5,89,24,1
0,39,177,74,6,78,19,1
1,66,188,98,26,114,242,1
0,62,171,78,22,103,135,0
0,63,158,61,3,87,14,1
0,77,151,52,28,103,190,1
0,54,184,79,23,92,111,1
0,43,146,51,9,94,47,0
1,30,177,82,28,107,173,1
1,74,184,87,20,101,150,1
0,25,164,62,8,85,30,0
1,43,190,98,17,107,122,1
1,40,181,91,29,111,216,0
0,61,166,69,28,114,208,1
0,56,168,66,3,85,13,1
0,67,172,72,8,89,39,1
0,72,151,60,11,92,59,1
1,32,193,96,21,111,151,1
1,51,177,76,1,76,2,1
0,67,166,64,17,90,86,1
1,65,158,63,19,97,113,0
1,35,194,91,23,112,170,0
1,32,187,90,7,90,27,1
1,57,184,78,3,71,6,1
0,50,158,59,24,101,144,1
0,24,174,72,8,91,34,1
0,55,167,66,14,87,63,1
1,23,194,97,15,101,79,0
1,79,172,75,11,89,62,0
1,35,174,76,12,97,57,1
0,31,171,71,3,83,11,1
1,35,182,89,24,108,161,0
0,70,156,62,8,87,38,1
1,65,198,96,5,85,24,1
0,58,160,56,22,99,131,1
1,22,173,79,29,115,201,0
0,24,173,68,20,99,104,0
0,49,158,61,27,106,175,1
0,26,171,65,11,101,60,0
